originId,postcode,lat,lng,car_min,transit_min,diff_min,faster,car_distance_km,transit_distance_km,transit_available,transit_realistic
O001,CM7 3DX,51.87958829999999,0.5716011999999999,28,87,-59,car,31.0,31.0,True,True
O002,CM17 9QH,51.761423,0.1374213,20,61,-41,car,18.2,16.9,True,True
O003,EN9 3HY,51.6865832,0.0306973,28,113,-85,car,36.0,34.5,True,True
O004,CM22 6UF,51.910554,0.2256565,10,40,-30,car,6.4,11.0,True,True
O005,IG10 1QP,51.65212589999999,0.0610332,33,130,-97,car,30.4,38.5,True,True
O006,CM6 2LJ,51.9532676,0.3487711,21,86,-65,car,21.2,27.0,True,True
O007,CO9 4DW,52.0139614,0.5620898999999999,42,191,-149,car,38.1,51.6,True,False
O008,CM7 9LJ,51.8851773,0.5705833,30,93,-63,car,31.6,31.3,True,True
O009,CM17 9PZ,51.7670799,0.1462686,20,64,-44,car,18.5,18.0,True,True
O010,CM9 4PT,51.7410481,0.6787015,46,143,-97,car,47.0,57.4,True,True
O011,CM6 1YD,51.8724749,0.2873189,12,44,-32,car,12.4,8.2,True,True
O012,CM18 7JT,51.7515225,0.1010082,20,64,-44,car,21.2,20.3,True,True
O013,CM22 7EB,51.8129502,0.2089177,16,59,-43,car,17.2,18.7,True,True
O014,CM6 3EQ,51.8619599,0.4521313,21,71,-50,car,21.9,25.4,True,True
O015,CM15 9NE,51.63581509999999,0.286749,37,147,-110,car,37.2,85.0,True,True
O016,CB7 5EP,52.3487518,0.3117578,55,145,-90,car,65.8,74.6,True,True
O017,EN7 5BT,51.6996273,-0.04973,41,100,-59,car,41.4,39.3,True,True
O018,CB7 5ES,52.34228659999999,0.3337068,53,122,-69,car,63.5,72.9,True,True
O019,CM6 1FF,51.86957959999999,0.2845281,11,35,-24,car,11.9,7.6,True,True
O020,CO4 9RX,51.9069289,0.9179927999999999,58,160,-102,car,65.5,59.4,True,True
O021,CM2 0PG,51.7319124,0.466765,37,93,-56,car,33.1,39.5,True,True
O022,SG18 0EG,52.0952365,-0.2649957,59,136,-77,car,53.8,113.7,True,True
O023,WD24 7EA,51.673968,-0.3880348,54,136,-82,car,67.8,90.3,True,True
O024,CM23 2QU,51.8722439,0.1562557,11,30,-19,car,6.6,8.9,True,True
O025,SG9 0JH,51.9328502,0.08247,24,940,-916,car,16.9,22.3,True,False
O026,SG11 2BG,51.8836822,0.09201010000000001,16,64,-48,car,10.7,20.2,True,True
O027,SG9 9SX,51.9523711,-0.0254809,32,116,-84,car,26.1,39.4,True,True
O028,SS4 1GX,51.5828974,0.6897268,69,153,-84,car,73.8,121.9,True,True
O029,CM7 3RA,51.8801236,0.5754969999999999,27,88,-61,car,30.7,31.3,True,True
O030,IP14 2NP,52.1634454,0.9671607999999999,76,207,-131,car,105.2,121.3,True,False
O031,CM19 5NF,51.7557598,0.0725444,25,72,-47,car,24.0,22.2,True,True
O032,CM22 6DJ,51.9208134,0.2451136,12,59,-47,car,7.9,10.1,True,True
O033,CM8 1QQ,51.78996120000001,0.6378328,35,137,-102,car,39.1,56.9,True,True
O034,CM3 1SH,51.8327489,0.5093451999999999,22,92,-70,car,30.2,41.6,True,True
O035,CM22 7NP,51.8043557,0.1827938,13,55,-42,car,15.2,15.7,True,True
O036,CM17 0DX,51.7845658,0.141589,13,30,-17,car,14.4,12.1,True,True
O037,CB11 3BQ,51.9762905,0.2141049,15,61,-46,car,12.6,19.3,True,True
O038,SG10 6HL,51.8659337,0.07308819999999999,19,44,-25,car,13.4,18.6,True,True
O039,CM23 3QJ,51.8653292,0.1508267,15,37,-22,car,6.0,10.4,True,True
O040,SS4 1JD,51.56931489999999,0.7066323999999999,69,151,-82,car,73.8,123.1,True,True
O041,IG8 9NE,51.6010693,0.0016095,27,107,-80,car,39.7,55.6,True,True
O042,CM18 6XP,51.7586662,0.0902111,23,58,-35,car,22.1,18.8,True,True
O043,E10 5QZ,51.56045049999999,-0.0084703,38,100,-62,car,45.9,68.0,True,True
O044,CO6 3JB,51.9130225,0.8536455,55,263,-208,car,52.4,66.0,True,False
